,Estimated,Actual,FPTrial,FPApproxi,Requirement,LikelySys,Type,IsFormat,MeetSchedule,HearlingNum,AddiJobTime,Num,StakeHolder,WorkPasona,Importance,IdentifyProb,NewTech,Workspace,SimilarProject,PMTool,CMTool,DSTool,DTTool,CASETool,CodeGenerator,DevMethodology,User Participation,User Agreement,Mandatory Control,CycloCompSum,CycloCompAve,Reliability,UC,Architecture,Language,BusExp,DesignExp,LangExp,PlatformExp,PMExp,Grade,ProExp,PBLExp,Purpose,ConcuTask,ConcuProj
2016_a,144,,330,103,0,1,new,1,36,0,0,4,2,4,2,0,1,3,NA,1,1,1,0,0,0,NA,0,0,0,,,1,6,MVC,Ruby,3,2,2,1,1,5,0.75,0.75,1,1.25,NA
2016_b,216,,85,44,4,10,new,1,36,2,3.5,6,2,6,1.9,1,0,3,NA,1,1,1,0,0,0,NA,0,0,0,,,1,3,MVC,PHP,1,2,1,1,0,5.166666,1,1,1,1.333333,NA
2016_c,144,,135,67,0,0,new,1,36,0,0,4,2,NA,2,0,0,3,NA,1,1,1,0,0,0,NA,0,0,0,,,1,NA ,2tier,Swift,1,2,0,0,0,5,0.5,0.5,1,NA,NA
2016_d,180,,105,67,0,2,new,1,36,0,0,5,4,5,2.909,1,1,3,NA,1,1,1,0,0,0,NA,0,0,0,,,1,2,2tier,Swift,1,2,2,1,1,5,1,1,1,1,NA
2016_e,264,,205,105,0,0,new,0,44,0,6.16666,6,2,6,2,0,1,3,NA,1,1,1,0,0,0,NA,0,0,0,,,1,4,3tier,Java,1,2,2,1,0,5,1,1,1,2,NA
2016_f,180,,70,31,0,0,new,0,36,0,0,5,4,5,2.133,0,0,3,NA,1,1,1,0,0,0,NA,0,0,0,,,1,NA ,3tier,VBA,1,2,2,1,1,5,1,1,0,2,NA
